indices,redshift,angles,gamma1,gamma2,kappa,dx,dy,ra,dec,image_x,image_y,prelensed_image_x,prelensed_image_y,has_finite_shear,hlr,e1,e2,split,id
8154,2.19177627563,1.8319645444219883,0.0,0.0,0.0,-80.9978488557842,-81.01397816694549,0.0224716235262867,-0.0224761021611246,94.51075578657291,94.43010923077946,94.51075578657291,94.43010923077946,True,0.2234864135716668,0.015399427267757,0.347832623699367,train,0
13772,0.665633201599,5.724619576149733,0.0,0.0,0.0,-80.94616890938373,-63.02580446458339,0.0224572679878331,-0.017479388241287,94.76915551853348,184.37097772804495,94.76915551853348,184.37097772804495,True,0.3752371470848351,0.5946785939075654,-0.0932869281318948,train,1
48886,0.393752992153,6.153330818551183,0.0,0.0,0.0,-80.95308598941935,-44.94070556689589,0.0224591893986669,-0.0124557503911814,94.73457011836098,274.79647220185905,94.73457011836098,274.79647220185905,True,0.917295281690482,0.6039982651220439,0.4621834082869188,train,2
3078,0.746477007866,0.4861215037663574,0.0,0.0,0.0,-81.02616464594519,-27.039229256426044,0.0224794890223612,-0.0074831186181877,94.36917683579088,364.30385373973337,94.36917683579088,364.30385373973337,True,0.38566271645593,-0.0556082772539251,-0.1736046728919731,train,3
45085,1.21744966507,4.914359284775532,0.0,0.0,0.0,-80.97264020001055,-8.928292351713974,0.0224646211229849,-0.0024523032406345,94.6367990654208,454.85853824864944,94.6367990654208,454.85853824864944,True,1.1472004501744817,0.4311181667024706,-0.2095347726700531,train,4
4297,0.561230897903,0.9555788115252524,0.0,0.0,0.0,-81.00078252344085,8.95487549061196,0.0224724384338553,0.0025152429963557,94.49608744829204,544.274377445819,94.49608744829204,544.274377445819,True,0.1518121551004127,-0.3451366062094418,-0.3338106772228221,train,5
21027,0.931483209133,2.0878184320346342,0.0,0.0,0.0,-81.01151221483391,26.963914319331945,0.0224754189032315,0.0075177533548433,94.4424389913354,634.319571574857,94.4424389913354,634.319571574857,True,0.2984121704325024,0.4211626267417924,0.550369966598355,train,6
10605,0.531777501106,4.196019064836902,0.0,0.0,0.0,-80.95048278232616,44.91743752522156,0.0224584662857048,0.012504842595801,94.74758615382478,724.0871875897881,94.74758615382478,724.0871875897881,True,0.4305184060114051,-0.1097261321045506,0.1125140825890295,train,7
4108,0.717113673687,1.6278841324513105,0.0,0.0,0.0,-81.03259310711391,62.95191350717615,0.0224812747057448,0.0175144185220834,94.33703452995246,814.2595674849786,94.33703452995246,814.2595674849786,True,0.133975962977697,-0.4858618033802073,-0.1509405277389148,train,8
5304,1.2778544426,5.781552196784998,0.0,0.0,0.0,-80.91057744076453,80.90690096332695,0.0224473814703021,0.0225019140468044,94.94711286160071,904.0345047512144,94.94711286160071,904.0345047512144,True,0.2795427838024386,0.5025061479486042,0.1674967018259267,train,9
62708,1.03586351871,1.0155238739631425,0.0,0.0,0.0,-63.00787515984504,-80.94651278175289,0.017474409221992,-0.0224573624634763,184.4606242517222,94.76743615668796,184.4606242517222,94.76743615668796,True,0.5024483062573236,-0.0866264515538814,0.7615029039851392,train,10
